time,vol_eth,vol_usd
2020-02-26 00:00:00.000 UTC,140.43763827948328,32748.565276179947
2021-11-18 00:00:00.000 UTC,19648.468055314555,8.182734189561541e+07
2018-09-21 00:00:00.000 UTC,4.666850529901771,1063.9600409348436
2019-02-24 00:00:00.000 UTC,93.43612262958163,15096.941343433298
2020-12-24 00:00:00.000 UTC,244.38967724554314,144790.68306913532
2022-02-05 00:00:00.000 UTC,41712.974961214146,1.2583337951884864e+08
2020-11-23 00:00:00.000 UTC,155.97749091117421,91074.7743058131
2020-09-07 00:00:00.000 UTC,62.94854219870548,21974.373688033364
2020-02-20 00:00:00.000 UTC,99.87364859866449,24671.063535949765
2021-09-08 00:00:00.000 UTC,23460.735554210834,8.086632047803485e+07
2023-02-27 00:00:00.000 UTC,8837.586054213083,1.4457501214529505e+07
2021-08-08 00:00:00.000 UTC,23514.981997987765,7.226451139923269e+07
2022-10-20 00:00:00.000 UTC,7572.389848992992,9.766182721971178e+06
2020-05-01 00:00:00.000 UTC,231.9022899975204,47593.410033677486
2021-06-18 00:00:00.000 UTC,1841.648292075609,4.1657538631385523e+06
2020-07-17 00:00:00.000 UTC,102.37975200090656,23349.89741875604
2021-12-21 00:00:00.000 UTC,14522.838314071614,5.8079021202350505e+07
2020-06-22 00:00:00.000 UTC,75.62086809337207,17333.235726657076
2022-11-14 00:00:00.000 UTC,6030.897703140474,7.422830010617698e+06
2021-04-01 00:00:00.000 UTC,1633.921639935165,3.182865429426941e+06
2023-03-04 00:00:00.000 UTC,8698.697024032217,1.3643230152711991e+07
2020-10-01 00:00:00.000 UTC,483.3844885481889,174060.573272654
2022-09-04 00:00:00.000 UTC,6835.158895674722,1.0660804966917565e+07
2019-01-09 00:00:00.000 UTC,35.61078073926538,5401.0707143605805
2021-03-06 00:00:00.000 UTC,1622.281802681445,2.5459953458959507e+06
2019-02-23 00:00:00.000 UTC,62.278813016302955,9360.630781080463
2019-10-06 00:00:00.000 UTC,208.84350977870653,36461.1712974459
2019-08-24 00:00:00.000 UTC,48.71535671788207,9057.853201160184
2021-09-28 00:00:00.000 UTC,34505.25267445855,9.96958538632795e+07
2019-06-26 00:00:00.000 UTC,42.54711385201759,14042.450101669803
2022-04-22 00:00:00.000 UTC,46106.391611682164,1.3750063477539563e+08
2021-04-20 00:00:00.000 UTC,360.58132993376995,812232.3510807704
2018-08-26 00:00:00.000 UTC,1.113309982372819,310.30477248380294
2023-03-31 00:00:00.000 UTC,6186.00757822322,1.122800798086035e+07
2019-01-22 00:00:00.000 UTC,105.38551935526539,12304.333736491506
2021-09-04 00:00:00.000 UTC,33134.29946389096,1.2943970551565725e+08
2019-11-08 00:00:00.000 UTC,60.85224893155193,11174.787486445042
2020-11-22 00:00:00.000 UTC,164.47911150636932,89055.3454078082
2019-01-03 00:00:00.000 UTC,27.580859480254404,3306.220078031814
2019-07-23 00:00:00.000 UTC,31.329267198797712,7427.206570210295
2018-11-12 00:00:00.000 UTC,19.34831789240181,4073.03951603985
2020-08-19 00:00:00.000 UTC,52.518702777106185,21561.015963768525
2019-09-17 00:00:00.000 UTC,106.31272651921044,21412.952974345117
2021-11-19 00:00:00.000 UTC,17534.4598465109,7.240238625554444e+07
2020-12-18 00:00:00.000 UTC,132.6393630899012,85439.8840942571
2019-11-02 00:00:00.000 UTC,274.1729077007627,49878.15676655971
2019-05-05 00:00:00.000 UTC,72.71648767318166,11844.968708235017
2021-03-12 00:00:00.000 UTC,2256.549890669201,4.0046920109959687e+06
2021-02-21 00:00:00.000 UTC,1930.0585057690741,3.753069380115865e+06
2021-09-09 00:00:00.000 UTC,25482.63954599903,8.899425266415454e+07
2018-12-07 00:00:00.000 UTC,10.83052041101791,919.1495352225363
2023-02-13 00:00:00.000 UTC,9803.84503666822,1.4701510066479558e+07
2023-01-31 00:00:00.000 UTC,7170.281958420712,1.1319090226026822e+07
2023-03-18 00:00:00.000 UTC,7342.970570020439,1.3269610684186332e+07
2021-01-19 00:00:00.000 UTC,157.93269774907108,213138.78907866316
2019-05-06 00:00:00.000 UTC,66.55160331181352,10857.247041437342
2023-03-05 00:00:00.000 UTC,9135.22262512707,1.434895005725126e+07
2019-09-04 00:00:00.000 UTC,110.43458050009019,19544.046331421225
2021-01-14 00:00:00.000 UTC,99.63574866318483,115100.55635719064
2020-04-24 00:00:00.000 UTC,144.81280630736654,26411.93111760346
2018-10-11 00:00:00.000 UTC,2.865038494517774,578.965522351026
2019-12-23 00:00:00.000 UTC,94.846764138485,12872.88467596508
2022-02-04 00:00:00.000 UTC,56892.16900762186,1.6140101411180222e+08
2022-04-03 00:00:00.000 UTC,49550.44205019019,1.72933437331084e+08
2022-02-17 00:00:00.000 UTC,33490.595036723345,1.0136143927698947e+08
2021-02-15 00:00:00.000 UTC,1571.6309429625087,2.8091174771550526e+06
2022-08-30 00:00:00.000 UTC,11278.875282960258,1.741984441592748e+07
2019-03-21 00:00:00.000 UTC,84.07539441099382,11601.094833282952
2019-02-18 00:00:00.000 UTC,63.63216996011602,8937.167082901524
2022-03-08 00:00:00.000 UTC,22997.164451642177,5.879075472424763e+07
2022-01-15 00:00:00.000 UTC,50163.70382414071,1.670744788158387e+08
2022-06-14 00:00:00.000 UTC,22333.424215799412,2.6823781834951334e+07
2021-02-08 00:00:00.000 UTC,873.518124820711,1.4530535181251504e+06
2019-05-25 00:00:00.000 UTC,43.48350749593044,10862.652724861853
2020-01-25 00:00:00.000 UTC,118.07378727028538,18052.324641901738
2020-07-18 00:00:00.000 UTC,64.95422299387292,14776.496580441242
